Description (Customer #),Quantity,P/N
"Zener Diodes ZENER DIODES,1W 24V, DO-221AC",1,SMAF4749A-TP
Multilayer Ceramic Capacitors MLCC - SMD/SMT 10 uF 50 VDC 10% 0805 X5R,5,GRM21BR61H106KE43K
Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 0.1uF X7R 0603 10% Medical,4,MLASH168SB7104KTNA01
Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X5R 0603 10%,2,MLASU168SB5105KTNA01
Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.22uF X7R 0603 10%,2,MSASU168SB7224KTNB25
Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X5R 0603 10%,2,MLASU168SB5105KTNA01
Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X5R 0603 10%,2,MLASU168SB5105KTNA01
Multilayer Ceramic Capacitors MLCC - SMD/SMT 2220 100VDC 22uF 20% X7S,3,C5750X7S2A226M280KB
Single Color LEDs Orange Clear 605nm,1,LTST-S220KFKT
Fuse Holder .63 MINI FUSE HOLDER,1,3568
Thick Film Resistors - SMD 1/8 Watt 4.3Kohms 1%,1,CRCW06034K30FKEA
"Small Signal Switching Diodes Small Signal Diode, SOD-523, 100V, 0.125A, 150C",2,1N4148WT
Headers & Wire Housings NanoFit Hdr VT 6Ckt SR KNK Pns Blk 15Au,2,105309-1206
Hot Swap Voltage Controllers 3.2-V to 65-V indust rial RPP controller,2,LM74502HDDFR
Power Inductors - SMD 6.8uH 20% 5.5A 180C ESR=50.9mOhms AECQ2,1,MPEV1D0630L6R8
Headers & Wire Housings MicroFit 3.0 V Hdr Clip DR 30Au 6Ckt,1,43045-0626
Headers & Wire Housings MicroFit 3.0 V Hdr Clip DR 30Au 6Ckt,1,43045-0626
Headers & Wire Housings NanoFit Hdr VT 2Ckt SR KNK Pns Blk 15Au,1,105309-1202
Headers & Wire Housings NanoFit Hdr VT 2Ckt SR KNK Pns Blk 15Au,1,105309-1202
MOSFETs SOT1210 N-CH 40V 60A,4,PSMN8R5-40MSDX
"MOSFETs 60 V, P-channel Trench MOSFET",1,BUK6M61-60PX
Thin Film Resistors - SMD CPF 0603 30R 0.1% 25PPM 5K RL,1,CPF0603B30RE
Thick Film Resistors - SMD ZERO OHM JUMPER,1,CRCW06030000Z0EE
Thick Film Resistors - SMD 100K OHM 1%,1,CRCW0603100KFKEE
Thick Film Resistors - SMD 1/8 Watt 9.53Kohms 1%,1,CRCW06039K53FKEA
Thick Film Resistors - SMD 10K OHM 1%,8,CRCW060310K0FKEI
Thick Film Resistors - SMD 1/10watt 4.3Kohms 1%,17,CRCW06034K30FKTA
Thick Film Resistors - SMD 0603 Resistor 0.5% 100ppm 220KOhm,1,ERJ-3RED2203V
Thick Film Resistors - SMD D11/CRCW0603 100 120R 1% ET6 e3,1,CRCW0603120RFKEC
Thin Film Resistors - SMD .1W 200Kohm 1% 0603 50ppm Auto,1,MCT06030C2003FP500
"Thick Film Resistors - SMD General Purpose Chip Resistor 0603, 140kOhms, 1%, 1/10W",1,RC0603FR-07140KL
Thick Film Resistors - SMD 1/8 Watt 9.09Kohms 1%,1,CRCW06039K09FKEA
Thick Film Resistors - SMD 1/8 Watt 100Ohms 1% 100ppm,3,CRCW0603100RFKEC
Headers & Wire Housings JUMPER SOCKET BLACK,1,M7567-05
Switching Voltage Regulators 4.5-V to 24-V input 3-A output synchron A 595-TPS56339DDCT,1,TPS56339DDCR
"Zener Diodes ZENER DIODES,1W 30V, DO-221AC",3,SMAF4751A-TP
"Zener Diodes ZENER DIODES,1W 15V, DO-221AC",2,SMAF4744A-TP
Single Color LEDs Blue 470nm 28mcd 20mA,17,LTST-C193TBKT-5A
Headers & Wire Housings NanoFit RA Hdr TH DR 6Ckt 0.76um Au Blk,2,105314-1306